chromosome	position	type	base_depth	exact_kmer_count	inexact_kmer_count	sum_kmer_count
5	23516981	left	35	20	5	25
5	23516982	left	35	20	5	25
5	23516983	left	35	20	5	25
5	23516984	left	35	20	5	25
5	23516985	left	34	20	5	25
5	23516986	left	34	20	5	25
5	23516987	left	34	20	5	25
5	23516988	left	34	21	4	25
5	23516989	left	35	21	4	25
5	23516990	left	35	21	4	25
5	23516991	left	35	20	5	25
5	23516992	left	35	20	5	25
5	23516993	left	35	20	5	25
5	23516994	left	35	20	5	25
5	23516995	left	35	20	5	25
5	23516996	left	35	20	5	25
5	23516997	left	35	20	5	25
5	23516998	left	35	20	5	25
5	23516999	left	35	20	5	25
5	23517000	left	33	20	5	25
5	23517001	left	33	20	5	25
5	23517002	left	33	20	5	25
5	23517003	left	33	20	5	25
5	23517004	left	33	20	5	25
5	23517005	left	32	20	5	25
5	23517006	left	32	20	5	25
5	23517007	left	32	20	5	25
5	23517008	left	32	20	5	25
5	23517009	left	32	21	4	25
5	23517010	left	32	21	3	24
5	23517011	left	34	23	3	26
5	23517012	left	34	23	3	26
5	23517013	left	33	23	3	26
5	23517014	left	33	23	3	26
5	23517015	left	33	23	3	26
5	23517016	left	33	22	3	25
5	23517017	left	34	22	4	26
5	23517018	left	33	22	4	26
5	23517019	left	32	22	4	26
5	23517020	left	32	22	4	26
5	23517021	left	32	22	4	26
5	23517022	left	32	22	4	26
5	23517023	left	32	21	4	25
5	23517024	left	32	21	3	24
5	23517025	left	32	21	3	24
5	23517026	left	30	21	3	24
5	23517027	left	31	22	3	25
5	23517028	left	31	22	3	25
5	23517029	left	31	21	3	24
5	23517030	left	31	21	3	24
5	23517031	left	31	21	3	24
5	23517032	left	31	21	3	24
5	23517033	left	31	21	3	24
5	23517034	left	31	21	3	24
5	23517035	left	31	21	3	24
5	23517036	left	31	20	3	23
5	23517037	left	31	20	3	23
5	23517038	left	31	19	3	22
5	23517039	left	31	18	3	21
5	23517040	left	31	18	2	20
5	23517041	left	31	17	2	19
5	23517042	left	31	17	2	19
5	23517043	left	31	17	2	19
5	23517044	left	31	17	2	19
5	23517045	left	31	17	2	19
5	23517046	left	31	15	2	17
5	23517047	left	31	15	2	17
5	23517048	left	31	15	2	17
5	23517049	left	31	15	2	17
5	23517050	left	30	15	2	17
5	23517051	left	30	15	2	17
5	23517052	left	30	0	17	17
5	23517053	left	30	0	17	17
5	23517054	left	32	0	18	18
5	23517055	left	32	0	18	18
5	23517056	left	33	0	19	19
5	23517057	left	33	0	19	19
5	23517058	left	33	0	19	19
5	23517059	left	32	0	19	19
5	23517060	left	32	0	19	19
5	23517061	left	32	0	17	17
5	23517062	left	32	0	17	17
5	23517063	left	32	0	17	17
5	23517064	left	32	0	16	16
5	23517065	left	32	0	16	16
5	23517066	left	32	0	15	15
5	23517067	left	32	0	15	15
5	23517068	left	34	0	16	16
5	23517069	left	34	0	16	16
5	23517070	left	34	0	16	16
5	23517071	left	34	0	16	16
5	23517072	left	34	0	16	16
5	23517073	left	34	0	16	16
5	23517074	left	34	0	16	16
5	23517075	left	33	0	16	16
5	23517076	left	33	0	16	16
5	23517077	left	34	0	17	17
5	23517078	left	36	0	19	19
5	23517079	left	36	0	19	19
5	23517080	left	35	0	19	19
5	23517081	left	36	0	20	20
5	23517082	left	36	0	20	20
5	23517083	left	36	0	20	20
5	23517084	left	36	0	20	20
5	23517085	left	36	0	20	20
5	23517086	left	35	0	20	20
5	23517087	left	36	0	21	21
5	23517088	left	36	0	21	21
5	23517089	left	36	0	21	21
5	23517090	left	36	0	21	21
5	23517091	left	36	0	21	21
5	23517092	left	36	0	21	21
5	23517093	left	35	0	21	21
5	23517094	left	35	0	21	21
5	23517095	left	35	0	21	21
5	23517096	left	35	0	21	21
5	23517097	left	36	0	22	22
5	23517098	left	36	0	22	22
5	23517099	left	35	0	22	22
5	23517100	left	35	0	22	22
5	23517101	left	35	0	22	22
5	23517102	left	35	0	22	22
5	23517103	left	36	0	23	23
5	23517104	left	36	0	23	23
5	23517105	left	36	0	23	23
5	23517106	left	35	0	23	23
5	23517107	left	35	0	22	22
5	23517108	left	35	0	23	23
5	23517109	left	34	0	23	23
5	23517110	left	34	0	24	24
5	23517111	left	33	0	24	24
5	23517112	left	33	0	24	24
5	23517113	left	33	0	24	24
5	23517114	left	33	0	24	24
5	23517115	left	33	0	24	24
5	23517116	left	31	0	24	24
5	23517117	left	31	0	24	24
5	23517118	left	31	0	24	24
5	23517119	left	31	0	24	24
5	23517120	left	31	0	24	24
5	23517121	left	31	0	24	24
5	23517122	left	30	0	24	24
5	23517123	left	31	10	15	25
5	23517124	left	31	10	15	25
5	23517125	left	31	10	15	25
5	23517126	left	31	10	15	25
5	23517127	left	32	11	15	26
5	23517128	left	32	11	15	26
5	23517129	left	32	10	15	25
5	23517130	left	32	10	15	25
5	23517131	left	30	10	14	24
5	23517132	left	30	10	14	24
5	23517133	left	30	10	14	24
5	23517134	left	29	10	14	24
5	23517135	left	29	10	14	24
5	23517136	left	28	10	14	24
5	23517137	left	28	10	14	24
5	23517138	left	27	10	14	24
5	23517139	left	27	9	14	23
5	23517140	left	27	9	14	23
5	23517141	left	27	8	14	22
5	23517142	left	27	8	14	22
5	23517143	left	27	8	14	22
5	23517144	left	27	8	14	22
5	23517145	left	27	8	14	22
5	23517146	left	27	8	14	22
5	23517147	left	28	8	15	23
5	23517148	left	28	8	15	23
5	23517149	left	28	8	15	23
5	23517150	left	29	8	16	24
5	23517151	left	30	8	17	25
5	23517152	left	30	8	17	25
5	23517153	left	30	8	16	24
5	23517154	left	30	8	15	23
5	23517155	left	30	8	15	23
5	23517156	left	30	8	15	23
5	23517157	left	30	8	15	23
5	23517158	left	30	8	15	23
5	23517159	left	30	8	15	23
5	23517160	left	30	8	15	23
5	23517161	left	32	9	16	25
5	23517162	left	32	9	16	25
5	23517163	left	32	9	14	23
5	23517164	left	32	9	14	23
5	23517165	left	32	9	14	23
5	23517166	left	32	9	14	23
5	23517167	left	32	9	14	23
5	23517168	left	32	9	14	23
5	23517169	left	32	8	14	22
5	23517170	left	32	8	14	22
5	23517171	left	32	8	14	22
5	23517172	left	32	8	14	22
5	23517173	left	32	8	14	22
5	23517174	left	32	8	14	22
5	23517175	left	33	8	15	23
5	23517176	left	33	8	15	23
5	23517177	left	32	8	15	23
5	23517178	left	32	8	15	23
5	23517179	left	32	8	15	23
5	23517180	left	32	8	15	23
5	23517181	left	32	8	15	23
5	23517182	left	32	7	16	23
5	23517183	left	32	7	16	23
5	23517184	left	32	7	16	23
5	23517185	left	32	7	16	23
5	23517186	left	32	7	16	23
5	23517187	left	32	7	16	23
5	23517188	left	33	8	16	24
5	23517189	left	33	9	15	24
5	23517190	left	33	9	15	24
5	23517191	left	33	7	15	22
5	23517192	left	33	7	15	22
5	23517193	left	34	14	9	23
5	23517194	left	34	13	10	23
5	23517195	left	34	13	10	23
5	23517196	left	34	13	10	23
5	23517197	left	34	13	10	23
5	23517198	left	34	13	10	23
5	23517199	left	33	13	10	23
5	23517200	left	33	13	10	23
5	23517201	left	32	13	10	23
5	23517202	left	32	13	10	23
5	23517203	left	32	13	10	23
5	23517204	left	32	13	10	23
5	23517205	left	33	13	11	24
5	23517206	left	34	13	11	24
5	23517207	left	36	14	12	26
5	23517208	left	36	14	12	26
5	23517209	left	36	13	14	27
5	23517210	left	36	10	17	27
5	23517211	left	35	5	22	27
5	23517212	left	35	2	25	27
5	23517213	left	35	2	25	27
5	23517214	left	35	1	26	27
5	23517215	left	35	1	26	27
5	23517216	left	35	1	26	27
5	23517217	left	36	1	27	28
5	23517218	left	36	1	27	28
5	23517219	left	36	1	27	28
5	23517220	left	36	1	27	28
5	23517221	left	36	1	27	28
5	23517222	left	37	1	28	29
5	23517223	left	36	1	28	29
5	23517224	left	36	1	29	30
5	23517225	left	37	1	30	31
5	23517226	left	37	1	30	31
5	23517227	left	37	1	30	31
5	23517228	left	37	1	30	31
5	23517229	left	38	1	31	32
5	23517230	left	38	1	30	31
5	23517231	left	38	2	29	31
5	23517232	left	39	2	30	32
5	23517233	left	37	2	29	31
5	23517234	left	37	2	29	31
5	23517235	left	38	2	30	32
5	23517236	left	38	3	28	31
5	23517237	left	38	3	28	31
5	23517238	left	38	3	28	31
5	23517239	left	37	3	28	31
5	23517240	left	37	3	28	31
5	23517241	left	37	3	28	31
5	23517242	left	37	3	28	31
5	23517243	left	37	3	28	31
5	23517244	left	37	3	28	31
5	23517245	left	37	3	28	31
5	23517246	left	37	3	28	31
5	23517247	left	37	3	28	31
5	23517248	left	37	4	27	31
5	23517249	left	39	5	28	33
5	23517250	left	39	5	28	33
5	23517251	left	39	6	27	33
5	23517252	left	39	6	27	33
5	23517253	left	39	8	25	33
5	23517254	left	40	9	25	34
5	23517255	left	41	10	25	35
5	23517256	left	41	10	25	35
5	23517257	left	41	10	24	34
5	23517258	left	41	11	21	32
5	23517259	left	41	13	19	32
5	23517260	left	41	14	18	32
5	23517261	left	37	17	13	30
5	23517262	left	41	18	15	33
5	23517263	left	41	17	16	33
5	23517264	left	41	17	16	33
5	23517265	left	41	18	15	33
5	23517266	left	41	18	14	32
5	23517267	left	41	18	14	32
5	23517268	left	41	18	14	32
5	23517269	left	41	18	14	32
5	23517270	left	41	18	14	32
5	23517271	left	41	18	14	32
5	23517272	left	41	18	14	32
5	23517273	left	41	18	14	32
5	23517274	left	41	18	14	32
5	23517275	left	41	18	14	32
5	23517276	left	40	18	14	32
5	23517277	left	41	19	13	32
5	23517278	left	41	19	13	32
5	23517279	left	41	19	13	32
5	23517280	left	41	19	13	32
5	23517281	left	41	19	14	33
5	23517282	left	40	19	14	33
5	23517283	left	40	19	13	32
5	23517284	left	40	19	13	32
5	23517285	left	40	19	13	32
5	23517286	left	40	19	13	32
5	23517287	left	40	19	13	32
5	23517288	left	40	19	12	31
5	23517289	left	38	21	10	31
5	23517290	left	38	21	9	30
5	23517291	left	37	21	8	29
5	23517292	left	37	20	8	28
5	23517293	left	38	21	8	29
5	23517294	left	38	21	8	29
5	23517295	left	39	22	8	30
5	23517296	left	39	22	8	30
5	23517297	left	39	21	8	29
5	23517298	left	39	20	8	28
5	23517299	left	39	20	8	28
5	23517300	left	38	20	8	28
5	23517301	left	40	22	7	29
5	23517302	left	39	22	7	29
5	23517303	left	39	22	7	29
5	23517304	left	39	22	7	29
5	23517305	left	39	22	7	29
5	23517306	left	39	22	7	29
5	23517307	left	39	22	7	29
5	23517308	left	39	22	7	29
5	23517309	left	40	23	7	30
5	23517310	left	39	23	7	30
5	23517311	left	39	23	7	30
5	23517312	left	39	23	7	30
5	23517313	left	39	23	7	30
5	23517314	left	38	23	6	29
5	23517315	left	38	23	6	29
5	23517316	left	39	24	6	30
5	23517317	left	40	25	6	31
5	23517318	left	40	25	6	31
5	23517319	left	40	25	6	31
5	23517320	left	39	25	5	30
5	23517321	left	38	25	5	30
5	23517322	left	39	26	5	31
5	23517323	left	39	26	5	31
5	23517324	left	40	26	5	31
5	23517325	left	41	27	5	32
5	23517326	left	42	28	5	33
5	23517327	left	39	27	4	31
5	23517328	left	41	30	3	33
5	23517329	left	41	30	3	33
5	23517330	left	41	29	3	32
5	23517331	left	41	29	3	32
5	23517332	left	41	29	3	32
5	23517333	left	43	31	3	34
5	23517334	left	43	30	3	33
5	23517335	left	44	31	3	34
5	23517336	left	43	31	3	34
5	23517337	left	43	31	3	34
5	23517338	left	43	31	3	34
5	23517339	left	43	31	3	34
5	23517340	left	43	31	3	34
5	23517341	left	43	31	3	34
5	23517342	left	43	30	3	33
5	23517343	left	44	31	3	34
5	23517344	left	44	31	3	34
5	23517345	left	45	32	3	35
5	23517346	left	45	32	3	35
5	23517347	left	45	32	3	35
5	23517348	left	45	32	3	35
5	23517349	left	45	32	3	35
5	23517350	left	45	32	3	35
5	23517351	left	46	33	3	36
5	23517352	left	46	33	3	36
5	23517353	left	47	34	3	37
5	23517354	left	47	32	3	35
5	23517355	left	47	32	3	35
5	23517356	left	47	32	3	35
5	23517357	left	50	35	3	38
5	23517358	left	49	35	3	38
5	23517359	left	49	35	3	38
5	23517360	left	49	35	3	38
5	23517361	left	49	35	3	38
5	23517362	left	48	35	3	38
5	23517363	left	48	35	3	38
5	23517364	left	48	35	3	38
5	23517365	left	48	35	3	38
5	23517366	left	48	35	3	38
5	23517367	left	49	37	3	40
5	23517368	left	48	37	3	40
5	23517369	left	48	37	3	40
5	23517370	left	48	37	3	40
5	23517371	left	47	37	3	40
5	23517372	left	47	37	3	40
5	23517373	left	47	37	3	40
5	23517374	left	47	37	3	40
5	23517375	left	47	37	3	40
5	23517376	left	47	36	3	39
5	23517377	left	48	37	3	40
5	23517378	left	49	38	3	41
5	23517379	left	49	38	3	41
5	23517380	left	50	39	3	42
5	23517381	left	51	40	3	43
5	23517382	left	51	40	3	43
5	23517383	left	51	40	3	43
5	23517384	left	51	40	3	43
5	23517385	left	51	39	3	42
5	23517386	left	51	39	3	42
5	23517387	left	51	38	3	41
5	23517388	left	51	38	3	41
5	23517389	left	51	37	4	41
5	23517390	left	51	37	4	41
5	23517391	left	51	37	4	41
5	23517392	left	51	37	4	41
5	23517393	left	52	38	4	42
5	23517394	left	51	38	4	42
5	23517395	left	51	38	4	42
5	23517396	left	51	38	4	42
5	23517397	left	50	38	4	42
5	23517398	left	50	38	4	42
5	23517399	left	50	38	4	42
5	23517400	left	49	38	4	42
5	23517401	left	49	38	4	42
5	23517402	left	49	38	4	42
5	23517403	left	49	38	4	42
5	23517404	left	48	38	4	42
5	23517405	left	49	38	4	42
5	23517406	left	49	37	4	41
5	23517407	left	50	38	4	42
5	23517408	left	50	38	4	42
5	23517409	left	50	38	4	42
5	23517410	left	51	39	4	43
5	23517411	left	52	39	5	44
5	23517412	left	52	40	5	45
5	23517413	left	52	40	5	45
5	23517414	left	52	40	5	45
5	23517415	left	52	40	4	44
5	23517416	left	52	40	4	44
5	23517417	left	53	41	4	45
5	23517418	left	53	41	4	45
5	23517419	left	53	41	4	45
5	23517420	left	53	41	4	45
5	23517421	left	53	41	4	45
5	23517422	left	53	41	4	45
5	23517423	left	53	41	4	45
5	23517424	left	51	41	4	45
5	23517425	left	51	41	4	45
5	23517426	left	51	41	4	45
5	23517427	left	51	40	4	44
5	23517428	left	51	40	4	44
5	23517429	left	51	38	4	42
5	23517430	left	51	38	4	42
5	23517431	left	51	38	4	42
5	23517432	left	51	38	4	42
5	23517433	left	52	39	4	43
5	23517434	left	52	39	4	43
5	23517435	left	53	40	3	43
5	23517436	left	53	40	3	43
5	23517437	left	54	41	3	44
5	23517438	left	54	41	3	44
5	23517439	left	54	41	3	44
5	23517440	left	54	41	3	44
5	23517441	left	54	40	3	43
5	23517442	left	54	39	3	42
5	23517443	left	55	40	3	43
5	23517444	left	55	40	3	43
5	23517445	left	55	40	3	43
5	23517446	left	54	40	3	43
5	23517447	left	55	41	3	44
5	23517448	left	55	41	3	44
5	23517449	left	56	42	3	45
5	23517450	left	56	42	3	45
5	23517451	left	56	42	3	45
5	23517452	left	56	42	3	45
5	23517453	left	56	42	3	45
5	23517454	left	56	42	3	45
5	23517455	left	55	42	3	45
5	23517456	left	55	42	3	45
5	23517457	left	54	41	3	44
5	23517458	left	55	42	3	45
5	23517459	left	55	42	3	45
5	23517460	left	55	43	2	45
5	23517461	left	56	43	2	45
5	23517462	left	57	44	2	46
5	23517463	left	57	44	2	46
5	23517464	left	57	44	2	46
5	23517465	left	57	44	2	46
5	23517466	left	57	44	2	46
5	23517467	left	57	44	2	46
5	23517468	left	57	44	2	46
5	23517469	left	56	43	3	46
5	23517470	left	57	44	3	47
5	23517471	left	57	44	3	47
5	23517472	left	58	45	3	48
5	23517473	left	59	46	2	48
5	23517474	left	61	46	3	49
5	23517475	left	60	46	3	49
5	23517476	left	59	46	3	49
5	23517477	left	59	46	3	49
5	23517478	left	59	46	3	49
5	23517479	left	60	46	4	50
5	23517480	left	61	45	4	49
5	23517481	left	61	44	3	47
5	23517482	left	61	44	3	47
5	23517483	left	61	44	3	47
5	23517484	left	62	45	3	48
5	23517485	left	63	46	3	49
5	23517486	left	63	44	5	49
5	23517487	left	63	44	5	49
5	23517488	left	63	43	5	48
5	23517489	left	64	43	6	49
5	23517490	left	64	43	6	49
5	23517491	left	64	43	6	49
5	23517492	left	64	41	7	48
5	23517493	left	64	41	7	48
5	23517494	left	64	41	7	48
5	23517495	left	65	42	7	49
5	23517496	left	65	42	6	48
5	23517497	left	64	41	6	47
5	23517498	left	64	41	6	47
5	23517499	left	63	42	6	48
5	23517500	left	64	45	4	49
5	23517501	left	64	44	4	48
5	23517502	left	64	44	4	48
5	23517503	left	64	43	5	48
5	23517504	left	65	44	5	49
5	23517505	left	64	44	4	48
5	23517506	left	65	42	4	46
5	23517507	left	65	43	2	45
5	23517508	left	65	43	2	45
5	23517509	left	65	43	2	45
5	23517510	left	65	43	2	45
5	23517511	left	64	43	2	45
5	23517512	left	63	43	2	45
5	23517513	left	64	44	2	46
5	23517514	left	64	44	2	46
5	23517515	left	64	43	2	45
5	23517516	left	66	45	2	47
5	23517517	left	66	45	2	47
5	23517518	left	67	46	2	48
5	23517519	left	68	45	2	47
5	23517520	left	68	45	2	47
5	23517521	left	68	45	2	47
5	23517522	left	68	44	2	46
5	23517523	left	69	45	2	47
5	23517524	left	70	46	2	48
5	23517525	left	70	45	2	47
5	23517526	left	70	45	2	47
5	23517527	left	70	46	2	48
5	23517528	left	71	47	2	49
5	23517529	left	75	51	2	53
5	23517530	left	75	51	2	53
5	23517531	left	74	50	2	52
5	23517532	left	75	51	2	53
5	23517533	left	75	49	3	52
5	23517534	left	76	50	3	53
5	23517535	left	76	50	3	53
5	23517536	left	76	48	3	51
5	23517537	left	76	47	3	50
5	23517538	left	78	49	3	52
5	23517539	left	79	50	3	53
5	23517540	left	79	51	2	53
5	23517541	left	79	51	2	53
5	23517542	left	79	51	2	53
5	23517543	left	78	51	2	53
5	23517544	left	78	52	2	54
5	23517545	left	78	51	3	54
5	23517546	left	78	51	3	54
5	23517547	left	78	51	3	54
5	23517548	left	78	51	3	54
5	23517549	left	78	51	3	54
5	23517550	left	76	50	4	54
5	23517551	left	75	51	4	55
5	23517552	left	75	51	4	55
5	23517553	left	75	51	4	55
5	23517554	left	76	52	4	56
5	23517555	left	76	52	4	56
5	23517556	left	76	52	4	56
5	23517557	left	76	51	4	55
5	23517558	left	75	50	4	54
5	23517559	left	75	50	4	54
5	23517560	left	75	48	4	52
5	23517561	left	75	48	4	52
5	23517562	left	73	48	4	52
5	23517563	left	73	48	4	52
5	23517564	left	73	48	4	52
5	23517565	left	73	48	4	52
5	23517566	left	72	47	5	52
5	23517567	left	71	47	5	52
5	23517568	left	71	47	5	52
5	23517569	left	71	47	5	52
5	23517570	left	71	47	5	52
5	23517571	left	71	47	6	53
5	23517572	left	71	47	6	53
5	23517573	left	71	46	6	52
5	23517574	left	71	47	5	52
5	23517575	left	71	47	5	52
5	23517576	left	68	47	5	52
5	23517577	left	67	47	5	52
5	23517578	left	67	47	5	52
5	23517579	left	67	47	5	52
5	23517580	left	67	47	5	52
5	23517581	left	67	47	5	52
5	23517582	left	67	47	5	52
5	23517583	left	67	47	5	52
5	23517584	left	69	49	4	53
5	23517585	left	68	49	3	52
5	23517586	left	69	49	4	53
5	23517587	left	69	49	4	53
5	23517588	left	69	49	4	53
5	23517589	left	68	49	4	53
5	23517590	left	69	48	4	52
5	23517591	left	69	48	4	52
5	23517592	left	69	49	4	53
5	23517593	left	69	49	4	53
5	23517594	left	69	49	4	53
5	23517595	left	68	50	3	53
5	23517596	left	68	49	3	52
5	23517597	left	69	50	3	53
5	23517598	left	69	49	4	53
5	23517599	left	69	50	3	53
5	23517600	left	69	50	3	53
5	23517601	left	68	50	3	53
5	23517602	left	68	50	3	53
5	23517603	left	67	50	3	53
5	23517604	left	67	50	3	53
5	23517605	left	67	50	3	53
5	23517606	left	65	49	4	53
5	23517607	left	64	49	4	53
5	23517608	left	64	49	4	53
5	23517609	left	64	49	4	53
5	23517610	left	64	49	4	53
5	23517611	left	64	49	4	53
5	23517612	left	64	49	4	53
5	23517613	left	64	48	4	52
5	23517614	left	64	48	4	52
5	23517615	left	65	48	4	52
5	23517616	left	65	48	4	52
5	23517617	left	66	48	4	52
5	23517618	left	66	48	4	52
5	23517619	left	67	48	5	53
5	23517620	left	67	48	5	53
5	23517621	left	67	49	4	53
5	23517622	left	67	48	5	53
5	23517623	left	67	48	4	52
5	23517624	left	67	48	4	52
5	23517625	left	68	48	5	53
5	23517626	left	68	48	5	53
5	23517627	left	67	47	5	52
5	23517628	left	66	46	5	51
5	23517629	left	66	46	5	51
5	23517630	left	64	46	5	51
5	23517631	left	64	46	5	51
5	23517632	left	64	45	6	51
5	23517633	left	64	45	6	51
5	23517634	left	64	45	6	51
5	23517635	left	64	45	6	51
5	23517636	left	64	45	6	51
5	23517637	left	64	43	7	50
5	23517638	left	64	43	7	50
5	23517639	left	64	43	7	50
5	23517640	left	64	41	8	49
5	23517641	left	64	41	8	49
5	23517642	left	64	40	8	48
5	23517643	left	63	40	8	48
5	23517644	left	64	41	8	49
5	23517645	left	64	41	8	49
5	23517646	left	64	41	8	49
5	23517647	left	64	41	8	49
5	23517648	left	64	42	7	49
5	23517649	left	64	42	7	49
5	23517650	left	64	42	6	48
5	23517651	left	67	44	7	51
5	23517652	left	68	43	8	51
